id,Oficio,Niveles,Recetas,Recursos,Cantidad
399,Joyero,70,Amuleto de jefe cocodrail x5,Diente de cocodrail ,40
400,Joyero,70,Amuleto de jefe cocodrail x5,Cráneo de jefe cocodrail ,5
401,Joyero,70,Amuleto de jefe cocodrail x5,Pelaje de Nelwynn ,10
402,Joyero,70,Amuleto de jefe cocodrail x5,Bakelitita ,5
403,Joyero,74,Amuleto de Nelwynn x3,Semilla de scorbuto ,21
404,Joyero,74,Amuleto de Nelwynn x3,Morros de mata ,6
405,Joyero,74,Amuleto de Nelwynn x3,Pelotita ,3
406,Joyero,74,Amuleto de Nelwynn x3,Pelaje de Nelwynn ,12
407,Joyero,74,Amuleto de Nelwynn x3,Concentrado de fajina ,3
408,Joyero,77,Alianza Tierradala x2,Cáscara de dragohuevo arcilloso ,22
409,Joyero,77,Alianza Tierradala x2,Pólvora ,2
410,Joyero,77,Alianza Tierradala x2,Babine de Mata ,26
411,Joyero,77,Alianza Tierradala x2,Barba del Wey Wobot ,8
412,Joyero,77,Alianza Tierradala x2,Concentrado de fajina ,2
413,Joyero,79,Pulsera Mágica de Farle x1,Tejido púrpura ,8
414,Joyero,79,Pulsera Mágica de Farle x1,Oreja de medibwork ,7
415,Joyero,79,Pulsera Mágica de Farle x1,Mimbre hechizado ,1
416,Joyero,79,Pulsera Mágica de Farle x1,Barba del Wey Wobot ,8
417,Joyero,79,Pulsera Mágica de Farle x1,Concentrado de fajina ,1
418,Joyero,80,Blopanillo Índigo Real x10,Cacho de blop índigo ,20
419,Joyero,80,Blopanillo Índigo Real x10,Flor de bloponcio ,40
420,Joyero,80,Blopanillo Índigo Real x10,Flor de Blop Índigo Real ,10
421,Joyero,80,Blopanillo Índigo Real x10,Hoja de blop real ,40
422,Joyero,80,Blopanillo Índigo Real x10,Frasco de Gelatina Real de Aciano ,10
423,Joyero,87,Alianza de Farle x3,Huevo de dragohuevo arcilloso ,24
424,Joyero,87,Alianza de Farle x3,Concentrado de fajina ,6
425,Joyero,87,Alianza de Farle x3,Tornillo de wabbit ,6
426,Joyero,87,Alianza de Farle x3,Bumerán de warko marrón ,3
427,Joyero,87,Alianza de Farle x3,Coraza de Mantícoro ,12
428,Joyero,87,Alianza de Farle x3,Barba de Le Chuko ,9
429,Joyero,90,Blopanillo Multicolor Real x10,Flor de Blop Guinda Real ,10
430,Joyero,90,Blopanillo Multicolor Real x10,Flor de Blop Coco Real ,10
431,Joyero,90,Blopanillo Multicolor Real x10,Flor de Blop Índigo Real ,10
432,Joyero,90,Blopanillo Multicolor Real x10,Flor de Blop Reineta Real ,10
433,Joyero,90,Blopanillo Multicolor Real x10,Hoja de Blop Multicolor Real ,30
434,Joyero,90,Blopanillo Multicolor Real x10,Kuarzo ,10
435,Joyero,97,Guantelete de marranárgola x1,Picaporte de marranárgola ,1
436,Joyero,97,Guantelete de marranárgola x1,Fragmento de marranárgola ,3
437,Joyero,97,Guantelete de marranárgola x1,Piel de don dessangre ,4
438,Joyero,97,Guantelete de marranárgola x1,Turmalina ,1
439,Joyero,97,Guantelete de marranárgola x1,Marfil ,4
440,Joyero,97,Guantelete de marranárgola x1,Hocico de Dragocerdo ,3
441,Joyero,98,Guante de la Rata Negra x2,Crâne magique de Rat Atinée ,22
442,Joyero,98,Guante de la Rata Negra x2,Viejo libro de Rat Lit ,28
443,Joyero,98,Guante de la Rata Negra x2,Pelo de rata brakmariana ,10
444,Joyero,98,Guante de la Rata Negra x2,Trenza de Trankitronko ,6
445,Joyero,98,Guante de la Rata Negra x2,Kuarzo ,2
446,Joyero,98,Guante de la Rata Negra x2,Crines de Rata Negra ,2
447,Joyero,100,Guante de la Rata Negra x5,Crâne magique de Rat Atinée ,55
448,Joyero,100,Guante de la Rata Negra x5,Viejo libro de Rat Lit ,70
449,Joyero,100,Guante de la Rata Negra x5,Pelo de rata brakmariana ,25
450,Joyero,100,Guante de la Rata Negra x5,Trenza de Trankitronko ,15
451,Joyero,100,Guante de la Rata Negra x5,Kuarzo ,5
452,Joyero,100,Guante de la Rata Negra x5,Crines de Rata Negra ,5
453,Joyero,103,Mazorramuleto x9,Hoja de mazorral ,153
454,Joyero,103,Mazorramuleto x9,Pluma de dodoncella ,27
455,Joyero,103,Mazorramuleto x9,Kola ,54
456,Joyero,103,Mazorramuleto x9,Piel de Moon ,36
457,Joyero,103,Mazorramuleto x9,Yema de Abráknido Ancestral ,9
458,Joyero,103,Mazorramuleto x9,Turmalina ,27
459,Joyero,103,Mazorramuleto x9,Kuarzo ,18
460,Joyero,110,Anillo de rata bontariana x6,Pelo de rata bontariana ,36
461,Joyero,110,Anillo de rata bontariana x6,Plumón del Maestro Cuerbok ,18
462,Joyero,110,Anillo de rata bontariana x6,Collar de chacrata ,90
463,Joyero,110,Anillo de rata bontariana x6,Lanzapiedras de perverrata ,96
464,Joyero,110,Anillo de rata bontariana x6,Kriptonita ,6
465,Joyero,110,Anillo de rata bontariana x6,Short de capoeirrata ,24
466,Joyero,110,Anillo de rata bontariana x6,Crines de Rata Blanca ,12
467,Joyero,115,Anillo de rata brakmariana x6,Pelo de rata brakmariana ,36
468,Joyero,115,Anillo de rata brakmariana x6,Plumón del Maestro Cuerbok ,18
469,Joyero,115,Anillo de rata brakmariana x6,Oreja de rataplastada ,90
470,Joyero,115,Anillo de rata brakmariana x6,Tubo oxidado de ratarruina ,96
471,Joyero,115,Anillo de rata brakmariana x6,Kriptonita ,6
472,Joyero,115,Anillo de rata brakmariana x6,Pústula de ratarmonía ,24
473,Joyero,115,Anillo de rata brakmariana x6,Crines de Rata Negra ,12
474,Joyero,118,Amuleto del Renuevo x3,Esmeralda ,9
475,Joyero,118,Amuleto del Renuevo x3,Pelos del Minotauroro ,3
476,Joyero,118,Amuleto del Renuevo x3,Pluma de Rasgabola Mayor ,9
477,Joyero,118,Amuleto del Renuevo x3,Concentrado de espesura ,3
478,Joyero,118,Amuleto del Renuevo x3,Pañal usado de warko violeta ,57
479,Joyero,118,Amuleto del Renuevo x3,Hoja de cawotaman ,42
480,Joyero,118,Amuleto del Renuevo x3,Turmalina ,9
481,Joyero,121,Alianza mutesca x5,Lana de Jalamut Real ,15
482,Joyero,121,Alianza mutesca x5,Cola de Jalamut Real ,5
483,Joyero,121,Alianza mutesca x5,Pluma vibrante de Tofu Real ,5
484,Joyero,121,Alianza mutesca x5,Lana de jalamut ,95
485,Joyero,121,Alianza mutesca x5,Cuero de jalamutín ,25
486,Joyero,121,Alianza mutesca x5,Ojo de jalamut de guerra ,30
487,Joyero,121,Alianza mutesca x5,Concentrado de espesura ,10
488,Joyero,121,Alianza mutesca x5,Kriptonita ,10
489,Joyero,125,Medalla Kido x2,Pluma de Tofu Real ,8
490,Joyero,125,Medalla Kido x2,Concentrado de espesura ,4
491,Joyero,125,Medalla Kido x2,Guijarro lunar ,4
492,Joyero,125,Medalla Kido x2,Pico de kido ,10
493,Joyero,125,Medalla Kido x2,Pluma de trasero de kido ,52
494,Joyero,125,Medalla Kido x2,Pluma de Rasgabola Mayor ,8
495,Joyero,125,Medalla Kido x2,Pelos del Minotauroro ,6
496,Joyero,125,Medalla Kido x2,Crines de trooloko ,38
497,Joyero,127,Anillo mutesco x1,Lana de Jalamut Real ,3
498,Joyero,127,Anillo mutesco x1,Cola de Jalamut Real ,1
499,Joyero,127,Anillo mutesco x1,Pluma de Tofu Real ,3
500,Joyero,127,Anillo mutesco x1,Lana de jalamut legendario ,23
501,Joyero,127,Anillo mutesco x1,Cuerno de jalamut de guerra ,24
502,Joyero,127,Anillo mutesco x1,Clavícula de jalamut ,5
503,Joyero,127,Anillo mutesco x1,Kriptonita ,2
504,Joyero,127,Anillo mutesco x1,Turmalina ,3
505,Joyero,128,Amuleto de Jalamut Real x4,Lana de Jalamut Real ,12
506,Joyero,128,Amuleto de Jalamut Real x4,Cola de Jalamut Real ,4
507,Joyero,128,Amuleto de Jalamut Real x4,Pluma de Tofu Real ,16
508,Joyero,128,Amuleto de Jalamut Real x4,Lana de jalamut ,96
509,Joyero,128,Amuleto de Jalamut Real x4,Cuero de jalamutín ,24
510,Joyero,128,Amuleto de Jalamut Real x4,Oreja de jalamutín ,92
511,Joyero,128,Amuleto de Jalamut Real x4,Concentrado de espesura ,8
512,Joyero,128,Amuleto de Jalamut Real x4,Toumaline ,12
513,Joyero,131,Amuleto de grullestruz x7,Turmalina ,21
514,Joyero,131,Amuleto de grullestruz x7,Concentrado de bosque ,7
515,Joyero,131,Amuleto de grullestruz x7,Paire de Dado de Thor Pestruz ,28
516,Joyero,131,Amuleto de grullestruz x7,Lana de Jalamut Real ,28
517,Joyero,131,Amuleto de grullestruz x7,Testículos del Tanukui San ,14
518,Joyero,131,Amuleto de grullestruz x7,Pata de grullestruz ,42
519,Joyero,131,Amuleto de grullestruz x7,Pluma de pestruzatón ,147
520,Joyero,131,Amuleto de grullestruz x7,Pico de pestruzillo ,42
521,Joyero,137,Talismán Dolina x10,Cola de Jalamut Real ,10
522,Joyero,137,Talismán Dolina x10,Plumón del Maestro Cuerbok ,10
523,Joyero,137,Talismán Dolina x10,Ojo de jalamut de guerra ,60
524,Joyero,137,Talismán Dolina x10,Pelos del Minotauroro ,10
525,Joyero,137,Talismán Dolina x10,Kobalita ,10
526,Joyero,137,Talismán Dolina x10,Oreja de jalamutín ,260
527,Joyero,137,Talismán Dolina x10,Turmalina ,30
528,Joyero,137,Talismán Dolina x10,Lana de jalamut ,240
529,Joyero,144,Anillo de Frigostina x2,Huevo de Morsagüino Real ,2
530,Joyero,144,Anillo de Frigostina x2,Kuakuá de bain de Nagate ,6
531,Joyero,144,Anillo de Frigostina x2,Piel de Skonk ,2
532,Joyero,144,Anillo de Frigostina x2,Oreja de kaniglú ,54
533,Joyero,144,Anillo de Frigostina x2,Bellota de ardilla de las nieves ,14
534,Joyero,144,Anillo de Frigostina x2,Piel de barrigüino ,66
535,Joyero,144,Anillo de Frigostina x2,Trama dimensional ,12
536,Joyero,144,Anillo de Frigostina x2,Concentrado de bosque ,4
537,Joyero,146,Alianza de Hell Mina x3,Concentrado de bosque ,6
538,Joyero,146,Alianza de Hell Mina x3,Esfenoides del Kimbo ,6
539,Joyero,146,Alianza de Hell Mina x3,Mecha rebelde de Hell Mina ,12
540,Joyero,146,Alianza de Hell Mina x3,Kuakuá de bain de Nagate ,9
541,Joyero,146,Alianza de Hell Mina x3,Trama dimensional ,18
542,Joyero,146,Alianza de Hell Mina x3,Brote de malseto ,93
543,Joyero,146,Alianza de Hell Mina x3,Cuerno de malastado ,21
544,Joyero,146,Alianza de Hell Mina x3,Pétalo de malter ,24
545,Joyero,149,Pulsera del Minotot x1,Etmoides de Minotot ,3
546,Joyero,149,Pulsera del Minotot x1,Pelos del Minotauroro ,3
547,Joyero,149,Pulsera del Minotot x1,Mecha rebelde de Hell Mina ,2
548,Joyero,149,Pulsera del Minotot x1,Piel de mino ,8
549,Joyero,149,Pulsera del Minotot x1,Cuerno de mominotauro ,2
550,Joyero,149,Pulsera del Minotot x1,Cuerno de deminobola ,2
551,Joyero,149,Pulsera del Minotot x1,Turmalina ,6
552,Joyero,149,Pulsera del Minotot x1,Kobalita ,2
553,Joyero,150,Brazalete Yenda x5,Corteza de floribundo ,15
554,Joyero,150,Brazalete Yenda x5,Trasero de tufo aéreo ,80
555,Joyero,150,Brazalete Yenda x5,Calcetín del Kimbo ,5
556,Joyero,150,Brazalete Yenda x5,Relleno de mopet ,90
557,Joyero,150,Brazalete Yenda x5,Coco de tufo aéreo ,25
558,Joyero,150,Brazalete Yenda x5,Cáscara del kasrakol ,20
559,Joyero,150,Brazalete Yenda x5,Nudo de abrajidor claro ,25
560,Joyero,150,Brazalete Yenda x5,Papada del Lodostropajo ,25
561,Joyero,154,Talismán Coh x6,Fémur de Sfinter Cell ,18
562,Joyero,154,Talismán Coh x6,Flotador de fantombrealagua ,36
563,Joyero,154,Talismán Coh x6,Valva de fantimonel ,174
564,Joyero,154,Talismán Coh x6,Escama de harpirata ,210
565,Joyero,154,Talismán Coh x6,Pelo de Ben el Ripata ,12
566,Joyero,154,Talismán Coh x6,Huevo de Morsagüino Real ,6
567,Joyero,154,Talismán Coh x6,Guijarro solar ,6
568,Joyero,154,Talismán Coh x6,Turmalina ,36
569,Joyero,159,Zothuleto x26,Tejido zoth ,208
570,Joyero,159,Zothuleto x26,Guijarro solar ,26
571,Joyero,159,Zothuleto x26,Concentrado de bosque primario ,26
572,Joyero,159,Zothuleto x26,Mecha rebelde de Hell Mina ,78
573,Joyero,159,Zothuleto x26,Tibia de guerrero zoth ,52
574,Joyero,159,Zothuleto x26,Heráldica de sargento zoth ,52
575,Joyero,159,Zothuleto x26,Calcetín del Kimbo ,26
576,Joyero,159,Zothuleto x26,Pistilo de Tynril ,78
577,Joyero,173,Alianza du Guten Tak x4,Cuero de Tengu Gélifux ,4
578,Joyero,173,Alianza du Guten Tak x4,Etmoides de Minotot ,16
579,Joyero,173,Alianza du Guten Tak x4,Vértebra de Obsidiantre ,4
580,Joyero,173,Alianza du Guten Tak x4,Concentrado de bosque tropical ,4
581,Joyero,173,Alianza du Guten Tak x4,Turmalina ,36
582,Joyero,173,Alianza du Guten Tak x4,Lágrima de gélifux ,36
583,Joyero,173,Alianza du Guten Tak x4,Colmillo de kami gélifux ,40
584,Joyero,173,Alianza du Guten Tak x4,Oreja de soryo gélifux ,188
585,Joyero,176,Anillo de Cil x6,Pedúnculo de hongador ,48
586,Joyero,176,Anillo de Cil x6,Lamela de dramanita ,210
587,Joyero,176,Anillo de Cil x6,Corteza de korrosif ,264
588,Joyero,176,Anillo de Cil x6,Pata de Cil ,18
589,Joyero,176,Anillo de Cil x6,Brasas azuladas ,18
590,Joyero,176,Anillo de Cil x6,Lana de Tengu Gélifux ,12
591,Joyero,176,Anillo de Cil x6,Turmalina ,54
592,Joyero,176,Anillo de Cil x6,Concentrado de bosque tropical ,6
593,Joyero,181,Ugahmuleto x3,Espina de Ugah ,12
594,Joyero,181,Ugahmuleto x3,Uña de Bworker ,3
595,Joyero,181,Ugahmuleto x3,Cuerno de XLII ,6
596,Joyero,181,Ugahmuleto x3,Fibra de cáñamo ,26
597,Joyero,181,Ugahmuleto x3,Ojo de setador ,171
598,Joyero,181,Ugahmuleto x3,Corteza de champáknido ,168
599,Joyero,181,Ugahmuleto x3,Trama dimensional ,36
600,Joyero,181,Ugahmuleto x3,Concentrado de bosque tropical ,6
601,Joyero,184,Amuleto del descanso eterno x6,Pañuelo agujereado de tierra ,366
602,Joyero,184,Amuleto del descanso eterno x6,Calzoncillos blancos ,48
603,Joyero,184,Amuleto del descanso eterno x6,Forúnculo de mamá bwork ,300
604,Joyero,184,Amuleto del descanso eterno x6,Uña de Bworker ,24
605,Joyero,184,Amuleto del descanso eterno x6,Ojo de Anelidón ,18
606,Joyero,184,Amuleto del descanso eterno x6,Fragmento de Ugahlureta ,6
607,Joyero,184,Amuleto del descanso eterno x6,Turmalina ,72
608,Joyero,184,Amuleto del descanso eterno x6,Concentrado de bosque tropical ,12
609,Joyero,189,Amunito x4,Espina de Ugah ,12
610,Joyero,189,Amunito x4,Ojo de Anelidón ,12
611,Joyero,189,Amunito x4,Cuerno de XLII ,8
612,Joyero,189,Amunito x4,Baba de seta peleona ,192
613,Joyero,189,Amunito x4,Fibra de cáñamo ,40
614,Joyero,189,Amunito x4,Trompa de Trompseta ,252
615,Joyero,189,Amunito x4,Concentrado de bosque tropical ,8
616,Joyero,189,Amunito x4,Turmalina ,48
617,Joyero,192,Anillo de Fuji Gélifux x3,Pata de soryo gélifux ,27
618,Joyero,192,Anillo de Fuji Gélifux x3,Colmillo de kami gélifux ,39
619,Joyero,192,Anillo de Fuji Gélifux x3,Lágrima de gélifux ,30
620,Joyero,192,Anillo de Fuji Gélifux x3,Cuero de Fuji Gélifux ,9
621,Joyero,192,Anillo de Fuji Gélifux x3,Cuero de Tengu Gélifux ,3
622,Joyero,192,Anillo de Fuji Gélifux x3,Ventosa del kralamar gigante ,9
623,Joyero,192,Anillo de Fuji Gélifux x3,Concentrado de selva ,3
624,Joyero,192,Anillo de Fuji Gélifux x3,Turmalina ,36
625,Joyero,195,Pikanillo x2,Aceite de pikoleto ,18
626,Joyero,195,Pikanillo x2,Cuero de dedstraik ,106
627,Joyero,195,Pikanillo x2,Pila steamer ,20
628,Joyero,195,Pikanillo x2,Corazón de Merkator ,2
629,Joyero,195,Pikanillo x2,Lana de Sylargh ,6
630,Joyero,195,Pikanillo x2,Espina de Ugah ,6
631,Joyero,195,Pikanillo x2,Concentrado de selva ,2
632,Joyero,195,Pikanillo x2,Turmalina ,24
633,Joyero,197,Anillo glacial x4,Bigote de portoskarcha ,8
634,Joyero,197,Anillo glacial x4,Muela de barrilicoso ,36
635,Joyero,197,Anillo glacial x4,Bragas de Mizz Frizz ,4
636,Joyero,197,Anillo glacial x4,Lana de Sylargh ,12
637,Joyero,197,Anillo glacial x4,Brasas azuladas ,12
638,Joyero,197,Anillo glacial x4,Turmalina ,48
639,Joyero,197,Anillo glacial x4,Concentrado de selva ,4
640,Joyero,197,Anillo glacial x4,Hongos micosianos congelados ,4
641,Zapatero,0,Kamaturón x59,Reliquia de Incarnam ,177
642,Zapatero,0,Kamaturón x59,Fuego Interno ,177
643,Zapatero,9,Sandalias de pío rojo x24,Pluma du Pío rojo ,72
644,Zapatero,9,Sandalias de pío rojo x24,Baba de jalató ,72
645,Zapatero,19,Botas Campesinas x1,Algodón ancestral ,3
646,Zapatero,19,Botas Campesinas x1,Pétalo mágico de Girasol Hambriento ,2
647,Zapatero,20,Patada Karnaval x31,Piel de larva verde ,93
648,Zapatero,20,Patada Karnaval x31,Piel de larva naranja ,93
649,Zapatero,33,Cinturón del Tot x10,Pétalo de rosa oscura ,40
650,Zapatero,33,Cinturón del Tot x10,Avellana ,40
651,Zapatero,33,Cinturón del Tot x10,Piedra de granito ,20
652,Zapatero,40,Magmarnés x8,Ojo de pinchóguiz ,40
653,Zapatero,40,Magmarnés x8,Nujo muerto ,8
654,Zapatero,40,Magmarnés x8,Cuero de miserata strubiense ,32
655,Zapatero,46,Escaracinto azul x5,Alas de escarahoja azul ,25
656,Zapatero,46,Escaracinto azul x5,Vísceras de escarahoja ,15
657,Zapatero,46,Escaracinto azul x5,Cuero de boostacho prepuberto ,5
658,Zapatero,46,Escaracinto azul x5,Alas de Escarajefe Dorado ,15
659,Zapatero,50,Blopinturón guinda x6,Cacho de blop guinda ,42
660,Zapatero,50,Blopinturón guinda x6,Blop muerto ,18
661,Zapatero,50,Blopinturón guinda x6,Bisagra rota ,42
662,Zapatero,50,Blopinturón guinda x6,Mangual de robot mangual ,6
663,Zapatero,55,Cinturón de rata x7,Mistetas Despedazado ,7
664,Zapatero,55,Cinturón de rata x7,Sello real falso ,42
665,Zapatero,55,Cinturón de rata x7,Piel de rata ,7
666,Zapatero,55,Cinturón de rata x7,Cerradura del cofre de los herreros ,14
667,Zapatero,60,Coraza de las 1001 garras x12,Coxis de coralador ,84
668,Zapatero,60,Coraza de las 1001 garras x12,Fragmento de espada reptiliana ,24
669,Zapatero,60,Coraza de las 1001 garras x12,Piel de larva zafiro ,12
670,Zapatero,60,Coraza de las 1001 garras x12,Piel de Shin Larva ,36
671,Zapatero,68,Geta de Fuegodala x16,Huevo de dragohuevo carbonoso ,112
672,Zapatero,68,Geta de Fuegodala x16,Bumerán de dok alako ,48
673,Zapatero,68,Geta de Fuegodala x16,Concentrado de oquedal ,32
674,Zapatero,68,Geta de Fuegodala x16,Pico de Kwoknan ,16
675,Zapatero,68,Geta de Fuegodala x16,Pelos de koalak guinda ,160
676,Zapatero,78,Cinturón de Nelwynn x1,Morros de mata ,2
677,Zapatero,78,Cinturón de Nelwynn x1,Patita de colmillo blando ,7
678,Zapatero,78,Cinturón de Nelwynn x1,Pelotita ,1
679,Zapatero,78,Cinturón de Nelwynn x1,Matraz de humo de Nelwynn ,1
680,Zapatero,78,Cinturón de Nelwynn x1,Concentrado de fajina ,1
681,Zapatero,79,Cinturón de Crujidor Legendario x1,Piedra de crujidor ,8
682,Zapatero,79,Cinturón de Crujidor Legendario x1,Carbón ,12
683,Zapatero,79,Cinturón de Crujidor Legendario x1,Mega piedra de crujidor ,1
684,Zapatero,79,Cinturón de Crujidor Legendario x1,Mega piedra del Crujidor Legendario ,1
685,Zapatero,79,Cinturón de Crujidor Legendario x1,Concentrado de fajina ,1
686,Zapatero,80,Tanga de yenaparda x28,Ojo de yenaparda ,364
687,Zapatero,80,Tanga de yenaparda x28,Bola de bolapincho ,84
688,Zapatero,80,Tanga de yenaparda x28,Arena fina ,84
689,Zapatero,80,Tanga de yenaparda x28,Corazón de Mantícoro ,28
690,Zapatero,80,Tanga de yenaparda x28,Concentrado de fajina ,56
691,Zapatero,94,Zapatillas de Dragocerdo x8,Piel de cerdo de Farle ,200
692,Zapatero,94,Zapatillas de Dragocerdo x8,Piel de don dórgano ,112
693,Zapatero,94,Zapatillas de Dragocerdo x8,Piel de don dessangre ,120
694,Zapatero,94,Zapatillas de Dragocerdo x8,Marfil ,40
695,Zapatero,94,Zapatillas de Dragocerdo x8,Pelo de Dragocerdo ,8
696,Zapatero,94,Zapatillas de Dragocerdo x8,Concentrado de bosquecillo ,8
697,Zapatero,100,Zapatos Ginkel-Hy x14,Pluma de trasero de kido ,140
698,Zapatero,100,Zapatos Ginkel-Hy x14,Cola emplumada de Rasgabola Mayor ,14
699,Zapatero,100,Zapatos Ginkel-Hy x14,Ala de tufo de las llanuras ,140
700,Zapatero,100,Zapatos Ginkel-Hy x14,Duvet de Kilibris ,280
701,Zapatero,100,Zapatos Ginkel-Hy x14,Crines floridas ,28
702,Zapatero,100,Zapatos Ginkel-Hy x14,Moustache de Mufafah ,280
703,Zapatero,100,Zapatos Ginkel-Hy x14,Antena de antesoro ,280
704,Zapatero,109,Cinturón del Minotauroro x2,Pelos del Minotauroro ,4
705,Zapatero,109,Cinturón del Minotauroro x2,Bordado de Malefíscof ,6
706,Zapatero,109,Cinturón del Minotauroro x2,Piel de mino ,12
707,Zapatero,109,Cinturón del Minotauroro x2,Lengua de krameleón ,10
708,Zapatero,109,Cinturón del Minotauroro x2,Piel de minoskito ,30
709,Zapatero,109,Cinturón del Minotauroro x2,Turmalina ,6
710,Zapatero,109,Cinturón del Minotauroro x2,Concentrado de bosquecillo ,4
711,Zapatero,111,Abratura Ancestral x4,Turmalina ,12
712,Zapatero,111,Abratura Ancestral x4,Kriptonita ,4
713,Zapatero,111,Abratura Ancestral x4,Yema de Abráknido Ancestral ,1
714,Zapatero,111,Abratura Ancestral x4,Calzoncillo agujereado de Dramak ,4
715,Zapatero,111,Abratura Ancestral x4,Arakna espachurrada ,8
716,Zapatero,111,Abratura Ancestral x4,Tela de abrakno oscuro ,16
717,Zapatero,111,Abratura Ancestral x4,Ámbar de abráknido oscuro ,16
718,Zapatero,114,Cinturón abdominable x2,Pelo de minovillo ,32
719,Zapatero,114,Cinturón abdominable x2,Pelo de zorrowapo ,34
720,Zapatero,114,Cinturón abdominable x2,Crines de Rata Negra ,8
721,Zapatero,114,Cinturón abdominable x2,Glándula de Piojoporojo ,4
722,Zapatero,114,Cinturón abdominable x2,Turmalina ,6
723,Zapatero,114,Cinturón abdominable x2,Caparazón de escarato ,32
724,Zapatero,114,Cinturón abdominable x2,Guijarro lunar ,4
725,Zapatero,116,Sandalias Fatales x1,Néctar del oriente ,6
726,Zapatero,116,Sandalias Fatales x1,Plumón del Maestro Cuerbok ,3
727,Zapatero,116,Sandalias Fatales x1,Brote explosivo de Kodámade ,4
728,Zapatero,116,Sandalias Fatales x1,Tupé de tofuito feo ,2
729,Zapatero,116,Sandalias Fatales x1,Trama dimensional ,3
730,Zapatero,116,Sandalias Fatales x1,Concentrado de espesura ,1
731,Zapatero,116,Sandalias Fatales x1,Pelo de trooléolé ,13
732,Zapatero,117,Ceinture de l'Amant d’Ha x1,Kesitufo ,1
733,Zapatero,117,Ceinture de l'Amant d’Ha x1,Lana del trool airado ,4
734,Zapatero,117,Ceinture de l'Amant d’Ha x1,Kriptonita ,1
735,Zapatero,117,Ceinture de l'Amant d’Ha x1,Crines de trooloko ,18
736,Zapatero,117,Ceinture de l'Amant d’Ha x1,Plumón del Maestro Cuerbok ,3
737,Zapatero,117,Ceinture de l'Amant d’Ha x1,Guijarro lunar ,2
738,Zapatero,117,Ceinture de l'Amant d’Ha x1,Pelos del Minotauroro ,3
739,Zapatero,118,Botas de Jalamut Real x2,Lana de Jalamut Real ,6
740,Zapatero,118,Botas de Jalamut Real x2,Cola de Jalamut Real ,2
741,Zapatero,118,Botas de Jalamut Real x2,Piel de Cocabulia ,6
742,Zapatero,118,Botas de Jalamut Real x2,Lana de jalamut ,38
743,Zapatero,118,Botas de Jalamut Real x2,Queue du Jalamut ,10
744,Zapatero,118,Botas de Jalamut Real x2,Cuerno de jalamut de guerra ,34
745,Zapatero,118,Botas de Jalamut Real x2,Guijarro lunar ,4
746,Zapatero,120,Cinturón Cuerbakial x6,Pluma de cuerbok domesticado ,96
747,Zapatero,120,Cinturón Cuerbakial x6,Plumón del Maestro Cuerbok ,18
748,Zapatero,120,Cinturón Cuerbakial x6,Corazón de bebedor ,6
749,Zapatero,120,Cinturón Cuerbakial x6,Turmalina ,18
750,Zapatero,120,Cinturón Cuerbakial x6,Concentrado de bosquecillo ,12
751,Zapatero,120,Cinturón Cuerbakial x6,Pelo de Skonk ,18
752,Zapatero,120,Cinturón Cuerbakial x6,Piel de Cocabulia ,18
753,Zapatero,125,Xenatura x1,Cuero de Capsálocke ,2
754,Zapatero,125,Xenatura x1,Kesitufo ,1
755,Zapatero,125,Xenatura x1,Máscara de shinibaru ,6
756,Zapatero,125,Xenatura x1,Lana del trool airado ,6
757,Zapatero,125,Xenatura x1,Kuakuá de bain de Nagate ,3
758,Zapatero,125,Xenatura x1,Testículos del Tanukui San ,2
759,Zapatero,125,Xenatura x1,Kriptonita ,2
760,Zapatero,125,Xenatura x1,Guijarro lunar ,2
761,Zapatero,126,Cinturón claro de abrajidor x2,Ámbar de Tynril ,2
762,Zapatero,126,Cinturón claro de abrajidor x2,Pluma vibrante de Tofu Real ,2
763,Zapatero,126,Cinturón claro de abrajidor x2,Kesitufo ,2
764,Zapatero,126,Cinturón claro de abrajidor x2,Coco de tufo aéreo ,10
765,Zapatero,126,Cinturón claro de abrajidor x2,Nudo de abrajidor claro ,12
766,Zapatero,126,Cinturón claro de abrajidor x2,Tocón de abrajidor claro ,42
767,Zapatero,126,Cinturón claro de abrajidor x2,Turmalina ,6
768,Zapatero,126,Cinturón claro de abrajidor x2,Concentrado de espesura ,4
769,Zapatero,128,Cinturón oscuro de abrajidor x2,Ámbar de Tynril ,2
770,Zapatero,128,Cinturón oscuro de abrajidor x2,Piel de Cocabulia ,6
771,Zapatero,128,Cinturón oscuro de abrajidor x2,Cola emplumada de Rasgabola Mayor ,2
772,Zapatero,128,Cinturón oscuro de abrajidor x2,Amígdalas de tufo oscuro ,52
773,Zapatero,128,Cinturón oscuro de abrajidor x2,Talon d'achille de l’ Abrajidor oscuro ,10
774,Zapatero,128,Cinturón oscuro de abrajidor x2,Grano de abrajidor oscuro ,46
775,Zapatero,128,Cinturón oscuro de abrajidor x2,Turmalina ,6
776,Zapatero,128,Cinturón oscuro de abrajidor x2,Concentrado de espesura ,4
777,Zapatero,130,Cuerda Sura x8,Talon d'achille de l’ Abrajidor oscuro ,16
778,Zapatero,130,Cuerda Sura x8,Bractea de la marguerrita ,240
779,Zapatero,130,Cuerda Sura x8,Cáliz de diente pe-león ,192
780,Zapatero,130,Cuerda Sura x8,Sépalo de nierba ,224
781,Zapatero,130,Cuerda Sura x8,Carpelo de esquejika ,144
